mes,ano,fator
8,1994,100
9,1994,101.751
10,1994,103.602
11,1994,106.553
12,1994,107.45
1,1995,108.442
2,1995,109.945
3,1995,111.178
4,1995,113.518
5,1995,114.171
6,1995,116.984
7,1995,119.114
8,1995,121.729
9,1995,120.869
10,1995,121.503
11,1995,122.955
12,1995,123.833
1,1996,125.977
2,1996,127.202
3,1996,127.715
4,1996,128.13
5,1996,130.121
6,1996,131.445
7,1996,133.213
8,1996,133.587
9,1996,133.722
10,1996,133.978
11,1996,134.242
12,1996,135.225
1,1997,137.613
2,1997,138.204
3,1997,139.795
4,1997,140.742
5,1997,141.04
6,1997,142.09
7,1997,142.221
8,1997,142.353
9,1997,143.042
10,1997,143.567
11,1997,144.481
12,1997,145.695
1,1998,147.091
2,1998,147.356
3,1998,147.635
4,1998,147.821
5,1998,148.021
6,1998,148.588
7,1998,148.339
8,1998,148.109
9,1998,147.984
10,1998,148.1
11,1998,147.628
12,1998,148.291
1,1999,149.533
2,1999,154.933
3,1999,159.325
4,1999,160.459
5,1999,159.996
6,1999,160.573
7,1999,163.06
8,1999,165.603
9,1999,167.997
10,1999,170.861
11,1999,174.939
12,1999,178.099
1,2000,180.301
2,2000,180.935
3,2000,181.214
4,2000,181.635
5,2000,182.189
6,2000,183.745
7,2000,186.634
8,2000,191.087
9,2000,193.297
10,2000,194.04
11,2000,194.599
12,2000,195.827
1,2001,197.045
2,2001,197.491
3,2001,198.606
4,2001,200.591
5,2001,202.324
6,2001,204.31
7,2001,207.341
8,2001,210.211
9,2001,210.853
10,2001,213.339
11,2001,215.685
12,2001,216.163
1,2002,216.944
2,2002,217.074
3,2002,217.276
4,2002,218.486
5,2002,220.292
6,2002,223.688
7,2002,228.057
8,2002,233.348
9,2002,238.943
10,2002,248.199
11,2002,261.08
12,2002,270.867
1,2003,277.173
2,2003,283.506
3,2003,287.855
4,2003,290.512
5,2003,289.747
6,2003,286.843
7,2003,285.649
8,2003,286.735
9,2003,290.127
10,2003,291.229
11,2003,292.657
12,2003,294.455
1,2004,297.039
2,2004,299.097
3,2004,302.484
4,2004,306.151
5,2004,310.152
6,2004,314.419
7,2004,318.532
8,2004,322.412
9,2004,324.651
10,2004,325.925
11,2004,328.588
12,2004,331.005
1,2005,332.298
2,2005,333.288
3,2005,336.123
4,2005,339.03
5,2005,338.299
6,2005,336.801
7,2005,335.663
8,2005,333.474
9,2005,331.69
10,2005,333.694
11,2005,335.033
12,2005,335.006
1,2006,338.083
2,2006,338.128
3,2006,337.339
4,2006,335.921
5,2006,337.185
6,2006,339.712
7,2006,340.312
8,2006,341.574
9,2006,342.561
10,2006,344.155
11,2006,346.746
12,2006,347.842
1,2007,349.593
2,2007,350.524
3,2007,351.717
4,2007,351.869
5,2007,352.02
6,2007,352.936
7,2007,353.92
8,2007,357.404
9,2007,361.997
10,2007,365.794
11,2007,368.334
12,2007,374.815
1,2008,378.9
2,2008,380.906
3,2008,383.731
4,2008,386.38
5,2008,392.592
6,2008,400.382
7,2008,407.446
8,2008,406.127
9,2008,406.557
10,2008,410.524
11,2008,412.104
12,2008,411.575
1,2009,409.782
2,2009,410.849
3,2009,407.808
4,2009,407.181
5,2009,406.885
6,2009,406.486
7,2009,404.718
8,2009,403.253
9,2009,404.945
10,2009,405.129
11,2009,405.548
12,2009,404.499
1,2010,407.049
2,2010,411.843
3,2010,415.734
4,2010,418.917
5,2010,423.885
6,2010,427.489
7,2010,428.15
8,2010,431.445
9,2010,436.423
10,2010,440.829
11,2010,447.206
12,2010,450.301
1,2011,453.875
2,2011,458.397
3,2011,461.249
4,2011,463.311
5,2011,465.311
6,2011,464.463
7,2011,463.927
8,2011,465.968
9,2011,468.975
10,2011,471.466
11,2011,473.808
12,2011,473.252
1,2012,474.429
2,2012,474.138
3,2012,476.166
4,2012,480.229
5,2012,485.14
6,2012,488.342
7,2012,494.891
8,2012,501.957
9,2012,506.804
10,2012,506.926
11,2012,506.795
12,2012,510.252
1,2013,511.977
2,2013,513.467
3,2013,514.526
4,2013,515.276
5,2013,515.299
6,2013,519.153
7,2013,520.508
8,2013,521.27
9,2013,529.085
10,2013,533.621
11,2013,535.168
12,2013,538.37
1,2014,540.959
2,2014,543.038
3,2014,552.087
4,2014,556.42
5,2014,555.679
6,2014,551.554
7,2014,548.202
8,2014,546.745
9,2014,547.839
10,2014,549.396
11,2014,554.769
12,2014,558.213
1,2015,562.482
2,2015,564.004
3,2015,569.536
4,2015,576.175
5,2015,578.516
6,2015,582.401
7,2015,586.426
8,2015,588.042
9,2015,593.606
10,2015,604.832
11,2015,614.051
12,2015,617.044
1,2016,624.06
2,2016,632.114
3,2016,635.349
4,2016,637.434
5,2016,642.651
6,2016,653.496
7,2016,654.641
8,2016,655.602
9,2016,656.894
10,2016,657.927
11,2016,657.752
12,2016,661.304
1,2017,665.542
2,2017,666.099
3,2017,666.197
4,2017,658.898
5,2017,652.758
6,2017,648.409
7,2017,643.766
8,2017,644.383
9,2017,647.4
10,2017,648.672
11,2017,652.073
12,2017,657.859
1,2018,662.826
2,2018,663.311
3,2018,667.524
4,2018,671.327
5,2018,680.579
6,2018,693.287
7,2018,696.8
8,2018,701.677
9,2018,712.373
10,2018,718.684
11,2018,715.166
12,2018,707.441
1,2019,707.488
2,2019,713.747
3,2019,722.707
4,2019,729.346
5,2019,732.595
6,2019,738.421
7,2019,741.346
8,2019,736.402
9,2019,736.362
10,2019,741.333
11,2019,743.558
12,2019,759.112
1,2020,762.733
2,2020,762.423
3,2020,771.908
4,2020,778.101
5,2020,780.28
6,2020,792.429
7,2020,810.083
8,2020,832.313
9,2020,868.442
10,2020,896.505
11,2020,925.887
12,2020,934.758
1,2021,958.844
